"Date","Name","qb_l","qb_r","qb_t"
2021-11-06,"Danuel House D",30,29,59
2021-11-06,"Christian Wood",25,25,50
2021-11-06,"Alperen Sengun",27,26,53
2021-11-04,"Usman Garuba",24,24,48
2021-11-04,"Kenyon Martin, Jr.",34,25,59
2021-11-04,"Joshua Christopher",27,25,52
2021-11-04,"Jalen Green",25,25,50
2021-11-04,"Eric Gordon",24,27,51
2021-11-04,"Jae'Sean Tate",31,30,61
2021-11-04,"David Nwaba",28,29,57
2021-11-04,"Armoni Brooks",25,23,48
2021-11-04,"Alperen Sengun",27,26,53
2021-11-02,"Joshua Christopher",19,21,40
2021-11-02,"Usman Garuba",30,28,58
2021-11-02,"Kenyon Martin, Jr.",31,28,59
2021-11-02,"Jalen Green",26,24,50
2021-11-02,"Christian Wood",25,26,51
2021-11-02,"David Nwaba",31,27,58
2021-11-02,"Alperen Sengun",26,26,52
2021-11-01,"David Nwaba",27,26,53
2021-11-01,"Eric Gordon",23,26,49
2021-11-01,"Jalen Green",28,23,51
2021-11-01,"Joshua Christopher",29,28,57
2021-11-01,"Usman Garuba",29,28,57
